domain,phylum,order,n_with_rubisco,has_malate_synthase,malate_synthase_fraction
Bacteria,Acidobacteriota,Acidobacteriales,5.0,4.0,0.8
Bacteria,Acidobacteriota,Aminicenantales,1.0,0.0,0.0
Bacteria,Acidobacteriota,Bin61,1.0,0.0,0.0
Bacteria,Acidobacteriota,GCA-2747255,1.0,1.0,1.0
Bacteria,Acidobacteriota,HRBIN11,1.0,0.0,0.0
Bacteria,Acidobacteriota,UBA4820,1.0,0.0,0.0
Bacteria,Acidobacteriota,UBA7540,1.0,0.0,0.0
Bacteria,Actinobacteriota,20CM-4-69-9,1.0,1.0,1.0
Bacteria,Actinobacteriota,Acidimicrobiales,11.0,3.0,0.2727272727272727
Bacteria,Actinobacteriota,Actinomycetales,31.0,19.0,0.6129032258064516
Bacteria,Actinobacteriota,Euzebyales,2.0,0.0,0.0
Bacteria,Actinobacteriota,Fen-727,2.0,0.0,0.0
Bacteria,Actinobacteriota,Microtrichales,3.0,1.0,0.3333333333333333
Bacteria,Actinobacteriota,Mycobacteriales,133.0,131.0,0.9849624060150376
Bacteria,Actinobacteriota,Nanopelagicales,9.0,0.0,0.0
Bacteria,Actinobacteriota,Propionibacteriales,21.0,8.0,0.38095238095238093
Bacteria,Actinobacteriota,RBG-13-55-18,1.0,0.0,0.0
Bacteria,Actinobacteriota,Solirubrobacterales,3.0,2.0,0.6666666666666666
Bacteria,Actinobacteriota,Streptomycetales,8.0,7.0,0.875
Bacteria,Actinobacteriota,Streptosporangiales,24.0,24.0,1.0
Bacteria,Actinobacteriota,UBA2241,1.0,0.0,0.0
Bacteria,Actinobacteriota,UBA2766,1.0,0.0,0.0
Bacteria,Actinobacteriota,UBA5794,1.0,1.0,1.0
Bacteria,Aquificota,Hydrogenothermales,4.0,0.0,0.0
Bacteria,Armatimonadota,UBA5377,1.0,0.0,0.0
Bacteria,Bacteroidota,Balneolales,6.0,0.0,0.0
Bacteria,Bacteroidota,Cytophagales,1.0,1.0,1.0
Bacteria,Bacteroidota,Flavobacteriales,3.0,0.0,0.0
Bacteria,Bacteroidota,Rhodothermales,4.0,2.0,0.5
Bacteria,Caldisericota,Caldisericales,1.0,0.0,0.0
Bacteria,Chloroflexota,4572-78,1.0,0.0,0.0
Bacteria,Chloroflexota,Anaerolineales,2.0,0.0,0.0
Bacteria,Chloroflexota,Chloroflexales,2.0,2.0,1.0
Bacteria,Chloroflexota,GIF9,5.0,0.0,0.0
Bacteria,Chloroflexota,Promineofilales,1.0,1.0,1.0
Bacteria,Chloroflexota,Thermomicrobiales,1.0,0.0,0.0
Bacteria,Chloroflexota,UBA1429,1.0,0.0,0.0
Bacteria,Chloroflexota,UBA2200,2.0,0.0,0.0
Bacteria,Chloroflexota,UBA3071,1.0,0.0,0.0
Bacteria,Chloroflexota,UBA4733,1.0,0.0,0.0
Bacteria,Chloroflexota_A,CSP1-4,3.0,2.0,0.6666666666666666
Bacteria,Cyanobacteria,CACIAM-69d,2.0,0.0,0.0
Bacteria,Cyanobacteria,Caenarcaniphilales,2.0,1.0,0.5
Bacteria,Cyanobacteria,Cyanobacteriales,187.0,8.0,0.0427807486631016
Bacteria,Cyanobacteria,Elainellales,5.0,0.0,0.0
Bacteria,Cyanobacteria,Gloeobacterales,2.0,0.0,0.0
Bacteria,Cyanobacteria,Gloeomargaritales,1.0,0.0,0.0
Bacteria,Cyanobacteria,Leptolyngbyales,9.0,0.0,0.0
Bacteria,Cyanobacteria,Neosynechococcales,2.0,0.0,0.0
Bacteria,Cyanobacteria,PCC-7336,3.0,0.0,0.0
Bacteria,Cyanobacteria,PCC-7407,1.0,0.0,0.0
Bacteria,Cyanobacteria,Phormidesmiales,17.0,0.0,0.0
Bacteria,Cyanobacteria,Pseudanabaenales,15.0,0.0,0.0
Bacteria,Cyanobacteria,Synechococcales,282.0,0.0,0.0
Bacteria,Cyanobacteria,Thermosynechococcales,8.0,0.0,0.0
Bacteria,Deinococcota,Deinococcales,16.0,16.0,1.0
Bacteria,Desantisbacteria,UBA1551,2.0,0.0,0.0
Bacteria,Desulfobacterota,BSN033,1.0,0.0,0.0
Bacteria,Desulfobacterota,Desulfobulbales,2.0,1.0,0.5
Bacteria,Desulfobacterota,SM23-61,1.0,0.0,0.0
Bacteria,Desulfobacterota,Syntrophales,8.0,0.0,0.0
Bacteria,Desulfobacterota,Syntrophobacterales,1.0,1.0,1.0
Bacteria,Desulfobacterota,UBA1062,3.0,0.0,0.0
Bacteria,Desulfobacterota_A,Desulfovibrionales,7.0,7.0,1.0
Bacteria,Desulfuromonadota,Desulfuromonadales,3.0,0.0,0.0
Bacteria,Dormibacterota,Dormibacterales,1.0,1.0,1.0
Bacteria,Dormibacterota,UBA8260,8.0,4.0,0.5
Bacteria,Elusimicrobiota,2-01-FULL-59-12,1.0,0.0,0.0
Bacteria,Elusimicrobiota,F11,1.0,0.0,0.0
Bacteria,Elusimicrobiota,UBA1565,2.0,0.0,0.0
Bacteria,Eremiobacterota,Eremiobacterales,1.0,1.0,1.0
Bacteria,Eremiobacterota,UBP12,5.0,4.0,0.8
Bacteria,Firestonebacteria,D2-FULL-39-29,2.0,0.0,0.0
Bacteria,Firmicutes,Lactobacillales,2.0,0.0,0.0
Bacteria,Firmicutes_A,Acetivibrionales,1.0,0.0,0.0
Bacteria,Firmicutes_A,Christensenellales,5.0,0.0,0.0
Bacteria,Firmicutes_A,Clostridiales,3.0,0.0,0.0
Bacteria,Firmicutes_A,Eubacteriales,7.0,0.0,0.0
Bacteria,Firmicutes_A,Lachnospirales,19.0,0.0,0.0
Bacteria,Firmicutes_A,Lutisporales,1.0,0.0,0.0
Bacteria,Firmicutes_A,Oscillospirales,7.0,0.0,0.0
Bacteria,Firmicutes_A,Peptostreptococcales,5.0,0.0,0.0
Bacteria,Firmicutes_A,Saccharofermentanales,3.0,0.0,0.0
Bacteria,Firmicutes_A,Tissierellales,2.0,0.0,0.0
Bacteria,Firmicutes_B,Ammonifexales,1.0,0.0,0.0
